step 0: train loss 10.9899, val loss 10.9894
iter 0: loss 11.0031, time 11520.05ms, mfu -100.00%
iter 10: loss 11.0014, time 154.67ms, mfu 108.83%
iter 20: loss 10.9880, time 155.21ms, mfu 108.79%
iter 30: loss 10.9666, time 154.77ms, mfu 108.79%
iter 40: loss 10.9564, time 154.71ms, mfu 108.79%
iter 50: loss 10.9303, time 154.67ms, mfu 108.79%
iter 60: loss 10.9012, time 155.54ms, mfu 108.73%
iter 70: loss 10.8797, time 155.38ms, mfu 108.69%
iter 80: loss 10.8532, time 154.78ms, mfu 108.70%
iter 90: loss 10.7934, time 155.27ms, mfu 108.67%
iter 100: loss 10.7882, time 154.82ms, mfu 108.68%
iter 110: loss 10.7087, time 155.99ms, mfu 108.60%
iter 120: loss 10.6726, time 154.38ms, mfu 108.64%
iter 130: loss 10.5979, time 155.28ms, mfu 108.62%
iter 140: loss 10.5374, time 155.59ms, mfu 108.57%
iter 150: loss 10.5130, time 154.85ms, mfu 108.59%
iter 160: loss 10.4212, time 155.62ms, mfu 108.54%
iter 170: loss 10.3926, time 155.20ms, mfu 108.54%
iter 180: loss 10.2585, time 155.12ms, mfu 108.53%
iter 190: loss 10.2105, time 156.20ms, mfu 108.46%
iter 200: loss 10.1894, time 155.28ms, mfu 108.45%
iter 210: loss 10.0467, time 155.41ms, mfu 108.44%
iter 220: loss 10.0219, time 155.16ms, mfu 108.44%
iter 230: loss 10.0050, time 155.63ms, mfu 108.41%
iter 240: loss 9.7913, time 155.18ms, mfu 108.42%
iter 250: loss 9.8716, time 155.58ms, mfu 108.40%
iter 260: loss 9.6469, time 155.62ms, mfu 108.37%
iter 270: loss 9.6103, time 155.13ms, mfu 108.39%
iter 280: loss 9.5185, time 155.37ms, mfu 108.38%
iter 290: loss 9.5217, time 155.16ms, mfu 108.39%
iter 300: loss 9.5450, time 155.88ms, mfu 108.35%
iter 310: loss 9.3215, time 155.12ms, mfu 108.37%
iter 320: loss 9.2604, time 156.01ms, mfu 108.32%
iter 330: loss 9.1767, time 155.23ms, mfu 108.33%
iter 340: loss 9.0890, time 155.23ms, mfu 108.34%
iter 350: loss 9.1155, time 156.16ms, mfu 108.29%
iter 360: loss 8.9786, time 154.93ms, mfu 108.32%
iter 370: loss 8.9307, time 155.98ms, mfu 108.28%
iter 380: loss 8.8671, time 155.60ms, mfu 108.27%
iter 390: loss 8.8582, time 156.48ms, mfu 108.20%
iter 400: loss 8.8980, time 155.90ms, mfu 108.18%
iter 410: loss 8.7901, time 156.32ms, mfu 108.13%
iter 420: loss 8.7527, time 155.68ms, mfu 108.13%
iter 430: loss 8.4384, time 155.39ms, mfu 108.15%
iter 440: loss 8.5032, time 155.65ms, mfu 108.15%
